0,1,"('Season', 'Season')","('Season title', 'Season title')","('Episodes', 'Episodes')","('Episodes', 'Episodes.1')","('Originally released', 'First released')","('Originally released', 'Last released')",Orig.,4Kids,No. in season,4Kids title Original Japanese & Funimation titles[14],Directed by,Written by,Rank[n 1] Rating,Original release date,English air date,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,4Kids title Original Japanese & Funimation titles[111],4Kids title/Funimation title Original Japanese title,4Kids title / Funimation title Original Japanese title,Unnamed: 8,4Kids title / Funimation title Original Japanese title[264],No. overall,Title [264],English air date [n 10],Unnamed: 7,Title,English air date [n 12],English air date [n 13],No.,Unnamed: 3,Volume,Volume.1,Volume.2,Episodes,Release date,Ref.,"('Volume', 'Volume')","('Volume', 'Volume.1')","('Volume', 'Volume.2')","('Release date', 'USA')","('Release date', 'Australia')","('ISBN', 'ISBN')","('Ref.', 'Ref.')","('Release date', 'UK')",vteOne Piece by Eiichiro Oda,vteOne Piece by Eiichiro Oda.1,vteOne Piece by Eiichiro Oda.2
,,,,,,,,103,71,11,,Harume Kosaka,Junki Takegami,,"March 3, 2002[183]","April 13, 2006[184] June 10, 2006[185]",,,,,,,"""Odd Numbers"" ""Spiders Café at 8 o'Clock! The Enemy Leaders Gather!"" Transliteration: ""Supaidāzu Kafe ni hachiji teki kanbu shūgō"" (Japanese: スパイダーズカフェに8時敵幹部集合)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,104,72,12,,Ken Koyama,Junki Takegami,,"March 10, 2002[186]","June 17, 2006[187][188]",,,,,,,"""Zero"" ""Luffy vs. Vivi! The Tearful Vow to Put Friends on the Line!"" Transliteration: ""Rufi vs Bibi! Nakama ni kakeru namida no chikai"" (Japanese: ルフィVSビビ!仲間に賭ける涙の誓い)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,105,73,13,,Yuji Endo,Michiru Shimada,,"March 17, 2002[189]","June 24, 2006[190]",,,,,,,"""Chase to Rainbase"" ""The Battlefront of Alabasta! Rainbase, the City of Dreams!"" Transliteration: ""Arabasuta sensen! Yume no machi Reinbēsu!"" (Japanese: アラバスタ戦線!夢の町レインベース)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,106,74,14,,Hidehiko Kadota,Michiru Shimada,,"March 24, 2002[191]","July 1, 2006[192][193]",,,,,,,"""Caged!"" ""The Trap of Certain Defeat! Storming Raindinners!"" Transliteration: ""Zettai zetsumei no wana! Reindināzu totsunyū"" (Japanese: 絶体絶命の罠!レインディナーズ突入)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,107,75,15,,Kōnosuke Uda,Michiru Shimada,,"April 14, 2002[194]","July 8, 2006[195]",,,,,,,"""Kingnapped"" ""Operation Utopia Commences! The Swell of Rebellion Stirs!"" Transliteration: ""Yūtopia sakusen hatsudō! Ugokidashita uneri"" (Japanese: ユートピア作戦発動!動き出した)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,108,76,16,,Ken Koyama,Michiru Shimada,,"April 21, 2002[196][197]","July 8, 2006[198]",,,,,,,"""They Call Me Mr. Prince"" ""The Terrifying Banana Gators and Mr. Prince!"" Transliteration: ""Kyōfu no Bananawani to Misutā Purinsu"" (Japanese: 恐怖のバナナワニとミスタープリンス)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,109,77,17,,Daisuke Nishio,Junki Takegami,,"April 28, 2002[199]","February 3, 2007[200][201]",,,,,,,"""The Great Escape"" ""The Key to a Great Comeback Escape! The Wax-Wax Ball!"" Transliteration: ""Gyakuden dai dasshutsu e no kagi! Dorudoru Bōru!"" (Japanese: 逆転大脱出への鍵!ドルドルボール!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,110,78,18,,Yuji Endo,Junki Takegami,,"May 5, 2002[202]","February 10, 2007[203][204]",,,,,,,"""Zero Tolerance"" ""Merciless Mortal Combat! Luffy vs. Crocodile!"" Transliteration: ""Nasakemuyō no shitō! Rufi vs Kurokodairu!"" (Japanese: 情無用の死闘!ルフィVSクロコダイル)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,,,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,111,79,19,,Junichi Fujise,Junki Takegami,,"May 12, 2002[205]","February 17, 2007[206][207]",,,,,,,"""Off the Hook"" ""Dash For a Miracle! Alabasta Animal Land!"" Transliteration: ""Kiseki e no Shissō! Arabasuta Dōbutsu Rando"" (Japanese: 奇跡への疾走!アラバスタ動物ランド)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,112,80,20,,Munehisa Sakai,Michiru Shimada,,"May 19, 2002[208]","February 24, 2007[209]",,,,,,,"""Rebel Rousers"" ""Rebel Army vs. Royal Army! Showdown at Alubarna!"" Transliteration: ""Hanrangun vs kokuōgun! Kessen wa Arubāna!"" (Japanese: 反乱軍VS国王軍!決戦はアルバーナ!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,113,81,21,,Hidehiko Kadota,Michiru Shimada,,"June 2, 2002[210]","March 3, 2007[211][212]",,,,,,,"""Two Bad"" ""Alubarna Grieves! The Fierce Captain Karoo!"" Transliteration: ""Naki no Arubāna! Gekitō Karū taichō"" (Japanese: 嘆きのアルバーナ!激闘カルー隊長!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,114,82,22,,Directed by : Kōji Tanaka Storyboarded by : Kōnosuke Uda,Junki Takegami,,"June 9, 2002[213][214]","March 10, 2007[215][216]",,,,,,,"""Extra Innings"" ""Sworn on a Friend's Dream! The Battle of Molehill, Block 4!"" Transliteration: ""Nakama no yumi ni chikau! Kettō Mogura tsuka 4 banchō"" (Japanese: 仲間の夢に誓う!決闘モグラ塚4番街)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,115,83,23,,Harume Kosaka,Junki Takegami,,"June 16, 2002[217]","March 17, 2007[218][219]",,,,,,,"""Blow Up!"" ""Big Opening Day Today! The Copy-Copy Montage!"" Transliteration: ""Honjitsu dai kōkai! Manemane Montāju!"" (Japanese: 本日大公開!マネマネモンタージュ!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,116,84,24,,Ken Koyama,Michiru Shimada,,"June 23, 2002[220]","March 24, 2007[221][222]",,,,,,,"""Trading Faces"" ""Transformed into Nami! Bon Clay's Rapid-Fire Ballet Kenpo!"" Transliteration: ""Nami ni henshin! Bonkurē renpatsu baree Kenpō"" (Japanese: ナミに変身!ボンクレ-連発バレエ拳法)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,117,85,25,,Yoko Ikeda,Michiru Shimada,,"June 30, 2002[223]","April 14, 2007[224][225]",,,,,,,"""The Weather Forcer"" ""Nami's Cyclone Advisory! Clima Takt Burst!"" Transliteration: ""Nami no senpū chūihō! Kurimatakuto sakuretsu"" (Japanese: ナミの旋風注意報!クリマタクト炸裂)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,118,86,26,,Yuji Endo,Michiru Shimada,,"July 14, 2002[226]","April 21, 2007[227][228]",,,,,,,"""Bad Girls"" ""Secret Passed Down in the Royal Family! The Ancient Weapon Pluton!"" Transliteration: ""Ōke ni tsuwaru himitsu! Kodai heiki Puruton"" (Japanese: 王家に伝わる秘密!古代兵器プルトン)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,119,87,27,,Munehisa Sakai,Junki Takegami,,"July 21, 2002[229]","April 28, 2007[230][231]",,,,,,,"""Zoro vs. Mr. One"" ""Secret of Powerful Swordplay! Ability to Cut Steel and the Rhythm Things Have!"" Transliteration: ""Gōken no kyokui! Kōtetsu o kiru chikara to mono no kokyū"" (Japanese: 豪剣の極意!鋼鉄を斬る力と物の呼吸)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,120,88,28,,Hidehiko Kadota,Junki Takegami,,"August 4, 2002[232]","May 5, 2007[233][234]",,,,,,,"""Hook, Lie & Sinker"" ""The Battle is Over! Koza Raises the White Flag!"" Transliteration: ""Tatakai wa owatta! Kōza ga ageta shiroi hata"" (Japanese: 戦いは終わった!コーザが掲げた白い旗)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,121,89,29,,Harume Kosaka,Junki Takegami,,"August 11, 2002[235]","May 12, 2007[236][237]",,,,,,,"""His Fatal Flaw"" ""Where Vivi's Voice Gets Heard! The Hero Descends!"" Transliteration: ""Bibi no koe no yukue! Hīrō wa maiorita!"" (Japanese: ビビの声の行方!英雄は舞い降りた!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,122,90,30,,Directed by : Junichi Fujise Storyboarded by : Kenji Yokoyama,Michiru Shimada,,"August 18, 2002[238][239]","May 19, 2007[240][241]",,,,,,,"""Live & Let Dry"" ""Sand Croc and Water Luffy! The Second Round of the Duel!"" Transliteration: ""Suna wani to mizu Rufi! Kettō dai ni raundo"" (Japanese: 砂ワニと水ルフィ!決闘第2ラウンド)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,123,91,31,,Junji Shimizu,Michiru Shimada,,"August 25, 2002[242]","May 26, 2007[243][244]",,,,,,,"""The Crypt Script"" ""That Looks Croc-ish! Luffy, Run to the Royal Tomb!"" Transliteration: ""Wanippoi! Ōke no haka e hashire Rufi!"" (Japanese: ワニっぽい!王家の墓へ走れルフィ!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,124,92,32,,Yuji Endo,Michiru Shimada,,"September 1, 2002[245]","June 9, 2007[246][247]",,,,,,,"""The Sweat Threat"" ""The Nightmare Draws Near! This is the Sand-Sand Clan's Secret Base!"" Transliteration: ""Akumu no toki semaru! Koko wa Sunasunadan himitsu kichi"" (Japanese: 悪夢の時迫る!ここは砂砂団秘密基地)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,125,93,33,,Hidehiko Kadota,Yoshiyuki Suga,,"September 8, 2002[248]","June 16, 2007[249][250]",,,,,,,"""The Bomb in the Belfry"" ""Magnificent Wings! My Name is Pell, Guardian Deity of the Country!"" Transliteration: ""Idai naru tsubame! Wa ga na wa kuno no shigoshin Peru"" (Japanese: 偉大なる翼!我が名は国の守護神ペル)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,126,94,34,,Munehisa Sakai,Michiru Shimada,,"September 15, 2002[251]","June 23, 2007[252][253]",,,,,,,"""Sandbagged"" ""I Will Surpass You! Rain Falls in Alabasta!"" Transliteration: ""Koete iku! Arabasuta ni ame ga furu!"" (Japanese: 越えていく!アラバスタに雨が降る!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,127,95,35,,Harume Kosaka,Yoshiyuki Suga,,"October 6, 2002[n 9][254]","June 30, 2007[255]",,,,,,,"""All the King's Men"" ""A Farewell to Arms! Pirates and Different Ideas of Justice!"" Transliteration: ""Buki yo saraba! Kaizoku to ikutsu ka no seigi"" (Japanese: 武器よさらば!海賊といくつかの正義)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,128,96,36,,Junji Shimizu,Yoshiyuki Suga,,"October 6, 2002[n 9][254]","July 14, 2007[256]",,,,,,,"""The Turn of the Two"" ""Pirates' Banquet and Operation Escape from Alabasta!"" Transliteration: ""Kaizokutachi no utage to Arabasuta dasshutsu sakusen!"" (Japanese: 海賊たちの宴とアラバスタ脱出作戦!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,129,97,37,,Daisuke Nishio,Yoshiyuki Suga,,"October 20, 2002[257][258]","July 21, 2007[259][260]",,,,,,,"""Pirate Vivi?"" ""It All Started On That Day! Vivi Tells the Story of Her Adventure!"" Transliteration: ""Hajimaru wa ano hi! Bibi ga kataru bōkendan"" (Japanese: 始まりはあの日!ビビが語る冒険譚)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,130,98,38,,Yoko Ikeda,Yoshiyuki Suga,,"October 27, 2002[261]","July 28, 2007[262][263]",,,,,,,"""Stowaway"" ""Scent of Danger! The Seventh Member is Nico Robin!"" Transliteration: ""Kiken na kaori! Shichininme wa Niko Robin!"" (Japanese: 危険な香り!七人目はニコ·ロビン!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Dreams!,Dreams!,Dreams!,,Dreams!,Dreams!,,Dreams!,Dreams!,Dreams!,Dreams!,Dreams!,Dreams!,,,,Dreams!,Dreams!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,131,—,1,,Yuji Endo,Michiru Shimada,,"November 3, 2002[265]",—,,,,,,,,,"""The First Patient! The Untold Story of the Rumble Ball!"" Transliteration: ""Hajimete no Kanja! Ranburu Bōru Hiwa"" (Japanese: はじめての患者! ランブルボール秘話)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,132,—,2,,Harume Kosaka,Ryōta Yamaguchi,,"November 10, 2002[266]",—,,,,,,,,,"""Uprising of the Navigator! For the Unyielding Dream!"" Transliteration: ""Kōkaishi no Hanran! Yuzure Nai Yume no Tame ni!"" (Japanese: 航海士の反乱! ゆずれない夢の為に!)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,133,—,3,,Hidehiko Kadota,Junki Takegami,,"November 17, 2002[267]",—,,,,,,,,,"""A Recipe Handed Down! Sanji, the Iron Man of Curry!"" Transliteration: ""Uketsugareru Yume! Karē no Tetsujin Sanji"" (Japanese: 受け継がれる夢! カレーの鉄人サンジ)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,134,—,4,,Munehisa Sakai,Junki Takegami,,"November 24, 2002[268]",—,,,,,,,,,"""I Will Make it Bloom! Usopp, the Man, and the Eight-Foot Shell!"" Transliteration: ""Sakasete Misemasu! Otoko Usoppu Hachi Shaku Tama"" (Japanese: 咲かせてみせます! 男ウソップ八尺玉)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,135,99,5,,Junji Shimizu,Junki Takegami,,"December 1, 2002[269]","August 4, 2007[270][271]",,,,,,,,,"""Legend of the Pirate Hunter!"" ""The Fabled Pirate Hunter! Zoro, the Wandering Swordsman!"" Transliteration: ""Uwasa no Kaizoku Gari! Sasurai no Kenshi Zoro"" (Japanese: 噂の海賊狩り! さすらいの剣士ゾロ)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,,,,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,136,—,6,,Directed by : Junichi Fujise Storyboarded by : Kenji Yokoyama,Yoshiyuki Suga,,"December 8, 2002[272]",—,,,,,,,,,"""Zenny of the Island of Goats and the Pirate Ship in the Mountains!"" Transliteration: ""Yagi no Shima no Zenii to Yama no Naka no Kaizoku Sen!"" (Japanese: ヤギの島のゼニィと山の中の海賊船!)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,137,—,7,,Yuji Endo,Yoshiyuki Suga,,"December 15, 2002[273]",—,,,,,,,,,"""How's Tricks? The Designs of Zenny the Moneylender!"" Transliteration: ""Mōkarimakka? Kanekashi Zenii no Yabō!"" (Japanese: 儲かりまっか? 金貸しゼニィの野望!)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,138,—,8,,Yoko Ikeda,Yoshiyuki Suga,,"December 22, 2002[274][275]",—,,,,,,,,,"""Whereabouts of the Island Treasure! Attack of the Zenny Pirates!"" Transliteration: ""Shima no Otakara no Yukue! Zenii Kaizoku Dan Shutsugeki!"" (Japanese: 島のお宝の行方! ゼニィ海賊団出撃!)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,,Beyond the Rainbow,Beyond the Rainbow,,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,,,,Beyond the Rainbow,Beyond the Rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,139,100,9,,Hidehiko Kadota,Ryōta Yamaguchi,,"January 5, 2003[276][277]","August 11, 2007[278][279]",,,,,,,,,"""The Rainbow Mist"" ""Legend of the Rainbow Mist! Old Man Henzo of Luluka Island!"" Transliteration: ""Nijiiro no Kiri Densetsu! Rurukajima no Rōjin Henzo"" (Japanese: 虹色の霧伝説! ルルカ島の老人ヘンゾ)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,140,101,10,,Munehisa Sakai,Ryōta Yamaguchi,,"January 12, 2003[280]","August 25, 2007[281][282]",,,,,,,,,"""Wreckers Reef"" ""Residents of the Land of Eternity! The Pumpkin Pirates!"" Transliteration: ""Eien no Kuni no Jūnin! Panpukin Kaizoku Dan!"" (Japanese: 永遠の国の住人! パンプキン海賊団!)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,141,102,11,,Ken Koyama,Ryōta Yamaguchi,,"January 19, 2003[283]","September 1, 2007[284][285]",,,,,,,,,"""No Way Out"" ""Thoughts of Home! The Pirate Graveyard of No Escape!"" Transliteration: ""Kokyū e no Omoi! Dasshutsu Funō no Kaizoku Hakaba!"" (Japanese: 故郷への想い! 脱出不能の海賊墓場!)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,142,103,12,,Yuji Endo,Ryōta Yamaguchi,,"January 26, 2003[286]","September 15, 2007[287]",,,,,,,,,"""Into The Mist"" ""An Inevitable Melee! Wetton's Schemes and the Rainbow Tower!"" Transliteration: ""Ransen Hissu! Uetton no Yabō to Niji no Tō"" (Japanese: 乱戦必死! ウエットンの野望と虹の塔)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,143,104,13,,Directed by : Junichi Fujise Storyboarded by : Junji Shimizu,Ryōta Yamaguchi,,"February 2, 2003[288]","September 22, 2007[289][290]",,,,,,,,,"""The Great Escape!"" ""And so, the Legend Begins! To the Other Side of the Rainbow!"" Transliteration: ""Soshite Densetsu ga Hajimaru! Iza Niji no Kanata e"" (Japanese: そして伝説が始まる! いざ虹の彼方へ)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Jaya,,Jaya,Jaya,,Jaya,,Jaya,Jaya,Jaya,Jaya,,,,Jaya,,Jaya,Jaya,Jaya,Jaya,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,Hidehiko Kadota,Yoshiyuki Suga,,"February 9, 2003[291]",,,,,,,,,,,144,"""Caught Log! The King of Salvagers, Masira!"" Transliteration: ""Ubawareta kiroku! Sarubēji ō Mashira!"" (Japanese: 奪われた記録!サルベージ王マシラ!)","September 29, 2007[292]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,,Hiroyuki Kakudō,Yoshiyuki Suga,,"February 16, 2003[293][294]",,,,,,,,,,,145,"""Monsters Appear! Don't Mess with the Whitebeard Pirates!"" Transliteration: ""Kaibutsu tōjō! Shirohige Ichimi ni wa te o dasu na"" (Japanese: 怪物登場!白ひげ一味には手を出すな)","October 6, 2007[295]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3,,Yoko Ikeda,Yoshiyuki Suga,,"February 23, 2003[296][n 11]",,,,,,,,,,,146,"""Quit Dreaming! Mock Town, the Town of Ridicule!"" Transliteration: ""Yume o miru na! Azakeri no machi Mokku Taun!"" (Japanese: 夢を見るな!嘲りの街モックタウン!)","October 13, 2007[297][298]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4,,Directed by : Junichi Fujise Storyboarded by : Munehisa Sakai,Yoshiyuki Suga,,"March 9, 2003[299]",,,,,,,,,,,147,"""Distinguished Pirates! A Man Who Talks of Dreams and the King of Undersea Search!"" Transliteration: ""Kaizoku no takami! Yume o kataru otoko to kaitei shinsaku ō"" (Japanese: 海賊の高み!夢を語る男と海底探索王)","October 20, 2007[300]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5,,Junji Shimizu,Yoshiyuki Suga,,"March 16, 2003[301]",,,,,,,,,,,148,"""Legendary Family! Noland, the Liar!"" Transliteration: ""Densetsu no ichizoku! Usotsuki Nōrando"" (Japanese: 伝説の一族!「うそつきノーランド」)","October 27, 2007[302][303]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,6,,Yuji Endo,Yoshiyuki Suga,,"March 23, 2003[304]",,,,,,,,,,,149,"""Steer for the Clouds! Capture the South Bird!"" Transliteration: ""Kumo kaji ippai! Sausubādo o oe!"" (Japanese: 雲舵いっぱい!サウスバードを追え!)","November 3, 2007[305][306]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7,,Hidehiko Kadota,Yoshiyuki Suga,,"April 13, 2003[307]",,,,,,,,,,,150,"""Dreams Don't Come True?! Bellamy Versus the Saruyama Alliance!"" Transliteration: ""Yume wa kanawanai!? Beramī VS saruyama rengō"" (Japanese: 幻想は叶わない!?ベラミーVS猿山連合)","November 10, 2007[308]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8,,Ken Koyama,Yoshiyuki Suga,,"April 20, 2003[309]",,,,,,,,,,,151,"""100 Million Man! World's Greatest Power and Pirate Black Beard!"" Transliteration: ""Ichioku no otoko! Sekai saikō kenryoku to kaizoku kurohige"" (Japanese: 一億の男!世界最高権力と海賊黒ひげ)","November 24, 2007[310][311]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,9,,Hiroyuki Kakudō,Michiru Shimada,,"April 27, 2003[312]",,,,,,,,,,,152,"""Take to the Sky! Ride the Knockup Stream!"" Transliteration: ""Fune wa sora o yuku! Tsukiageru kairyū ni nore"" (Japanese: 船は空をゆく!突き上げる海流に乗れ)","December 1, 2007[313][314]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sky Island ~ Skypiea,,Sky Island ~ Skypiea,Sky Island ~ Skypiea,,Sky Island ~ Skypiea,,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,,,,Sky Island ~ Skypiea,,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,10,,Junji Shimizu,Michiru Shimada,,"May 4, 2003[315]",,,,,,,,,,,153,"""Sail the White Sea! The Sky Knight and the Gate in the Clouds!"" Transliteration: ""Koko wa sora no umi! Sora no kishi to tengoku no mon"" (Japanese: ここは空の海!空の騎士と天国の門)","December 8, 2007[316][317]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,11,,Yoko Ikeda,Ryōta Yamaguchi,,"May 11, 2003[318]",,,,,,,,,,,154,"""Godland, Skypiea! Angels on a Beach of Clouds!"" Transliteration: ""Kami no kuni Sukaipia! Kumo no nagisa no tenshitachi"" (Japanese: 神の国スカイピア!雲の渚の天使たち)","December 15, 2007[319][320]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,12,,Hidehiko Kadota,Michiru Shimada,,"May 18, 2003[321]",,,,,,,,,,,155,"""The Forbidden Sacred Ground! The Island Where God Lives and Heaven's Judgement!"" Transliteration: ""Kindan no seichi! Kami no sumi shima to ten no sabaki!"" (Japanese: 禁断の聖地!神の住む島と天の裁き!)","December 22, 2007[322]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,13,,Junichi Fujise,Yoshiyuki Suga,,"June 8, 2003[323][324]",,,,,,,,,,,156,"""Already Criminals?! Skypiea's Upholder of the Law!"" Transliteration: ""Hayaku mo hanzaisha!? Sukaipia no hō no banjin"" (Japanese: 早くも犯罪者!?スカイピアの法の番人)","December 29, 2007[325][326]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,14,,Ken Koyama,Junki Takegami,,"June 15, 2003",,,,,,,,,,,157,"""Is Escape Possible?!? God's Challenge is Set in Motion"" Transliteration: ""Dasshutsu naru ka!? Ugokihajimeta kami no shiren!"" (Japanese: 脱出なるか!?動きはじめた神の試練!)","January 5, 2008[327][328]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,15,,Hiroyuki Kakudō,Junki Takegami,,"June 22, 2003",,,,,,,,,,,158,"""A Trap on Lovely Street! The Almighty Eneru"" Transliteration: ""Raburī dōri no wana! Zennō naru Goddo Eneru"" (Japanese: ラブリー通りの罠!全能なる神エネル)","January 12, 2008",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,16,,Junji Shimizu,Yoshiyuki Suga,,"July 6, 2003",,,,,,,,,,,159,"""Onward Crow! To the Sacrificial Altar!"" Transliteration: ""Susume Karasumaru! Ikenie no saidan o mezase"" (Japanese: すすめカラス丸!生贄の祭壇を目指せ)","January 19, 2008[329]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,17,,Hidehiko Kadota,Yoshiyuki Suga,,"July 13, 2003",,,,,,,,,,,160,"""10% Survival Rate! Satori, the Mantra Master!"" Transliteration: ""Seizonritsu 10%! Mantora tsukai no shinkan Satori"" (Japanese: 生存率10%!心綱使いの神官サトリ!)","January 26, 2008[330][331]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,18,,Katsumi Tokoro,Junki Takegami,,"July 20, 2003",,,,,,,,,,,161,"""The Ordeal of Spheres! Desperate Struggle in the Lost Forest!"" Transliteration: ""'Tama no shiren' no kyōi! Mayoi no mori no shitō"" (Japanese: 「玉の試練」の脅威!迷いの森の死闘)","February 2, 2008[332]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,19,,Munehisa Sakai,Junki Takegami,,"August 3, 2003[333]",,,,,,,,,,,162,"""Chopper in Danger! Former God vs. Priest Shura!"" Transliteration: ""Choppā ayaushi! Moto kami VS Shinkan Shura"" (Japanese: チョッパー危うし!元神VS神官シュラ)","February 9, 2008[334][335]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,20,,Ken Koyama,Yoshiyuki Suga,,"August 10, 2003",,,,,,,,,,,163,"""Profound Mystery! Ordeal of String and Ordeal of Love?!?"" Transliteration: ""Makafushigi! Himo no shiren to koi no shiren!?"" (Japanese: 摩訶不思議!紐の試練と恋の試練!?)","February 16, 2008[336][337]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,21,,Kōnosuke Uda,Yoshiyuki Suga,,"August 17, 2003",,,,,,,,,,,164,"""Light the Fire of Shandora! Wyper the Warrior!"" Transliteration: ""Shandora no tō o nobose! Senshi Waipā"" (Japanese: シャンドラの灯を燈せ!戦士ワイパー)","February 23, 2008[338][339]",,,,,,,,,,,,,,,,,,,,,,,
