No. overall [n 1],No. in season,Title [n 2],Directed by,Written by,Animation directed by,Original release date [n 3],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
1068,177,"""Moon Princess Echoes! The Final Phase of the Land of Wano!"" Transliteration: ""Tsukihime ga Hibiku! Wano Kuni Saishū Kyokumen!"" (Japanese: 月姫が響く！ワノ国最終局面！)",Directed by : Shō Matsui Storyboarded by : Yutaka Nakashima & Shō Matsui,Hitoshi Tanaka,Masahiro Shimanuki & Toshio Deguchi,"July 9, 2023",,,,,,
1069,178,"""There is Only One Winner - Luffy vs. Kaido"" Transliteration: ""Shōsha wa Hitori - Rufi tai Kaidō"" (Japanese: 勝者はひとり ルフィVSカイドウ)",Directed by : Shō Inuzuka Storyboarded by : Toshinori Fukuzawa & Shō Inuzuka,Tomohiro Nakayama,Masayuki Takagi,"July 16, 2023",,,,,,
1070,179,"""Luffy is Defeated?! The Determination of Those Left Behind"" Transliteration: ""Rufi Haiboku!? Nokosareta Mono no Kakugo"" (Japanese: ルフィ敗北!? 残された者の覚悟)",Yusuke Suzuki,Ryo Yamazaki,Shūichi Itō,"July 30, 2023",,,,,,
1071,180,"""Luffy's Peak - Attained! Fifth Gear"" Transliteration: ""Rufi no Saikō Chiten - Tōtatsu!〝Gia Fifusu〟"" (Japanese: ルフィの最高地点 到達！〝ギア5〟)",Tatsuya Nagamine,Atsuhiro Tomioka,Midori Matsuda & Keita Saitō,"August 6, 2023",,,,,,
1072,181,"""The Ridiculous Power! Fifth Gear in Full Play"" Transliteration: ""Fuzaketa Nōryoku! Yakudō Suru Gia Fifusu"" (Japanese: ふざけた能力！躍動するギア5)","Directed by : Tasuku Shimaya Storyboarded by : Tasuku Shimaya, Megumi Ishitani, Bahi JD, Yong-Ce Tu & Takeshi Maenami",Akiko Inoue,"Nobuyuki Iwai, Keisuke Mori, Kimitaka Itō & Shigefumi Shingaki","August 13, 2023",,,,,,
1073,182,"""No Way Out! A Hellish Scene on Onigashima"" Transliteration: ""Nigeba Nashi! Jigoku Ezu no Onigashima"" (Japanese: 逃げ場なし！地獄絵図の鬼ヶ島)",Katsumi Tokoro,Shinzō Fujita,Mamoru Yokota,"August 20, 2023",,,,,,
1074,183,"""I Trust Momo - Luffy's Final Powerful Technique!"" Transliteration: ""Momo o Shinjiru - Rufi Saigo no Ōwaza!"" (Japanese: モモを信じる ルフィ最後の大技！)",Directed by : Nanami Michibata Storyboarded by : Masahiro Hosoda & Hone Hone,Hitoshi Tanaka,"Kazuya Hisada, Hone Hone & Shū Sugita","September 3, 2023",,,,,,
1075,184,"""20 Years Worth of Prayers! Take Back the Land of Wano"" Transliteration: ""Nijū-nen no Inori! Wano Kuni o Torimodose"" (Japanese: 二十年の祈り！ワノ国を取り戻せ)",Yasunori Koyama,Tomohiro Nakayama,Yong-Ce Tu & Masahiro Kitazaki,"September 10, 2023",,,,,,
1076,185,"""The World That Luffy Wants!"" Transliteration: ""Rufi no Mezasu Sekai!"" (Japanese: ルフィの目指す世界！)",Satoshi Itō,Shōji Yonemura,Yong-Ce Tu & Ziwei He,"September 17, 2023",,,,,,
1077,186,"""The Curtain Falls! The Winner, Straw Hat Luffy!"" Transliteration: ""Makuhiki! Shōsha - Mugiwara no Rufi!"" (Japanese: 幕引き！勝者 麦わらのルフィ！)",Hazuki Omoya,Ryo Yamazaki,Toshio Deguchi & Masahiro Shimanuki,"September 24, 2023",,,,,,
1078,187,"""He Returns! The Shogun of the Land of Wano, Kozuki Momonosuke"" Transliteration: ""Kikan! Wano Kuni Shōgun - Kōzuki Momonosuke"" (Japanese: 帰還！ワノ国将軍 光月モモの助)",Toshinori Fukuzawa,Atsuhiro Tomioka,Kenji Yokoyama,"October 1, 2023",,,,,,
1079,188,"""The Morning Comes! Luffy and the Others Rest!"" Transliteration: ""Asa ga Kita! Rufi-tachi no Kyūsoku!"" (Japanese: 朝が来た！ルフィ達の休息！)",Yusuke Suzuki,Akiko Inoue,Masayuki Takagi,"October 15, 2023",,,,,,
1080,189,"""A Celebration Banquet! The New Emperors of the Sea!"" Transliteration: ""Shukusai no Utage! Atarashiki Umi no Kōtei-tachi!"" (Japanese: 祝祭の宴！新しき海の皇帝達！)",Ryota Nakamura,Shinzō Fujita,Shuichi Ito & Toshio Deguchi,"October 22, 2023",,,,,,
1081,190,"""The World Will Burn! The Onslaught of a Navy Admiral!"" Transliteration: ""Sekai ga Moeru! Kaigun Taishō Shūrai!"" (Japanese: 世界が燃える！海軍大将襲来！)",Sho Matsui,Hitoshi Tanaka,Shigefumi Shingaki,"October 29, 2023",,,,,,
1082,191,"""The Coming of the New Era! The Red-Haired's Imperial Rage"" Transliteration: ""Shin Jidai Tōrai! Akagami no Kōtei no Ikari"" (Japanese: 新時代到来！赤髪の皇帝の怒り)",Sho Inuzuka,Tomohiro Nakayama,Keita Saito & Kimitaka Ito,"November 5, 2023",,,,,,
1083,192,"""The World That Moves On! A New Organization, Cross Guild"" Transliteration: ""Ugoku Sekai! Shin Soshiki Kurosu Girudo"" (Japanese: 動く世界！新組織クロスギルド)",Katsumi Tokoro,Shōji Yonemura,Kazuya Hisada,"November 12, 2023",,,,,,
1084,193,"""Time to Depart - The Land of Wano and the Straw Hats"" Transliteration: ""Tabidachi no Toki - Wano kuni to Mugiwara no Ichimi"" (Japanese: 旅立ちの時 ワノ国と麦わらの一味)",Kenichi Takeshita,Shōji Yonemura,Masahiro Kitazaki,"November 19, 2023",,,,,,
1085,194,"""The Last Curtain! Luffy and Momonosuke's Vow"" Transliteration: ""Shūmaku! Rufi to Momonosuke no Chikai"" (Japanese: 終幕！ルフィとモモの助の誓い)",Toshinori Fukuzawa,Ryo Yamazaki,Mamoru Yokota,"November 26, 2023",,,,,,
Prologue to Egghead,Prologue to Egghead,Prologue to Egghead,Prologue to Egghead,Prologue to Egghead,Prologue to Egghead,Prologue to Egghead,Prologue to Egghead,Prologue to Egghead,Prologue to Egghead,Prologue to Egghead,Prologue to Egghead,Prologue to Egghead
1086,195,"""A New Emperor! Buggy the Genius Jester!"" Transliteration: ""Shin Kōtei! Senryō Dōke no Bagī!"" (Japanese: 新皇帝！千両道化のバギー！)",Directed by : Tasuku Shimaya Storyboarded by : Nozomu Shishido,Atsuhiro Tomioka,Masahiro Shimanuki,"December 3, 2023",,,,,,
1087,196,"""The War on the Island of Women! A Case Involving Koby the Hero"" Transliteration: ""Nyōgashima no Ran! Eiyū Kobī no Ikken"" (Japanese: 女ヶ島の乱！英雄コビーの一件)",Hazuki Omoya,Akiko Inoue,Yong-Ce Tu & Toshio Deguchi,"December 10, 2023",,,,,,
1088,197,"""Luffy's Dream"" Transliteration: ""Rufi no Yume"" (Japanese: ルフィの夢)",Tatsuya Nagamine,Shinzō Fujita,Kenji Yokoyama,"December 17, 2023",,,,,,
